id,thread_number,retweets,likes,replies
976989015923621890,Thread 39,3,24,1
976989110501040129,Thread 39,2,21,1
976989295058870272,Thread 39,7,30,1
976989464525406208,Thread 39,2,26,1
976989737692155904,Thread 39,1,28,3
976989975727280129,Thread 39,14,49,8
976990116223815680,Thread 39,2,14,1
976990208003596288,Thread 39,2,13,1
976990342456147968,Thread 39,1,14,1
976990456880955393,Thread 39,5,12,1
976990530394644480,Thread 39,4,18,2
976990674389274624,Thread 39,5,31,6
976990875275464705,Thread 39,7,27,6
976991039985799169,Thread 39,5,18,1
976991219334176773,Thread 39,7,22,1
976991308383510528,Thread 39,23,72,8
984268938568544256,Thread 40,1840,5966,75
984268939570982912,Thread 40,27,253,6
984268942536421376,Thread 40,61,442,4
984268943391993856,Thread 40,29,273,2
984268944537088000,Thread 40,26,256,3
984268947464728577,Thread 40,28,384,7
984268946575572993,Thread 40,32,412,5
984268945656954880,Thread 40,37,409,8
984268948324548609,Thread 40,28,353,6
984268949138255872,Thread 40,26,262,4
984268950954364929,Thread 40,35,349,5
984268950136537088,Thread 40,33,263,5
984268952556597248,Thread 40,72,402,5
984268951726075905,Thread 40,71,397,6
984268957044555777,Thread 40,57,638,4
984268956121743361,Thread 40,20,242,1
984268955224174593,Thread 40,25,204,2
984268953521242112,Thread 40,77,504,2
984268954330775554,Thread 40,21,228,24
956120155586793472,Thread 41,157,149,12
956120157176332288,Thread 41,35,52,1
956120159533617152,Thread 41,20,39,1
956120161106325504,Thread 41,22,38,1
956120165292347392,Thread 41,22,41,1
956120163828535297,Thread 41,19,39,1
956120169281146881,Thread 41,18,33,1
956120167863521280,Thread 41,20,42,2
956120171307036672,Thread 41,18,30,1
956120173077024769,Thread 41,15,24,1
956120176281440256,Thread 41,14,29,1
956120182006665216,Thread 41,23,39,1
956120178277912577,Thread 41,16,28,1
956120180538605568,Thread 41,19,31,3
956120185982869504,Thread 41,35,47,2
956120184225484800,Thread 41,18,33,2
956120188059078657,Thread 41,38,52,5
929388000433160192,Thread 42,4,6,2
929388980793090049,Thread 42,2,2,1
